"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Alaska,"53,326,985","53,433,791","50,705,178","50,869,390",--,0.2,-5.1,0.3,--
Aleutians East Borough,"196,027","204,322","185,383","196,383",19,4.2,-9.3,5.9,7
Aleutians West Census Area,"372,246","366,189","365,220","355,398",14,-1.6,-0.3,-2.7,23
Anchorage Municipality,"21,282,912","21,137,635","20,186,405","20,410,885",1,-0.7,-4.5,1.1,19
Bethel Census Area,"671,311","659,948","629,474","604,118",10,-1.7,-4.6,-4.0,24
Bristol Bay Borough,"129,969","123,517","108,386","121,530",22,-5.0,-12.2,12.1,4
Chugach Census Area1,(NA),(NA),(NA),(NA),--,(NA),(NA),(NA),--
Copper River Census Area1,(NA),(NA),(NA),(NA),--,(NA),(NA),(NA),--
Denali Borough,"261,919","256,457","192,759","236,319",17,-2.1,-24.8,22.6,2
Dillingham Census Area,"243,737","237,186","218,124","216,293",18,-2.7,-8.0,-0.8,22
Fairbanks North Star Borough,"5,274,105","5,220,901","5,135,206","5,286,112",3,-1.0,-1.6,2.9,12
Haines Borough,"109,428","108,097","85,204","91,810",24,-1.2,-21.2,7.8,5
Hoonah-Angoon Census Area,"96,060","99,641","84,531","86,047",25,3.7,-15.2,1.8,17
Juneau City and Borough,"2,351,597","2,282,666","2,188,687","2,228,455",6,-2.9,-4.1,1.8,16
Kenai Peninsula Borough,"2,625,793","2,693,049","2,626,133","2,657,093",5,2.6,-2.5,1.2,18
Ketchikan Gateway Borough,"817,024","832,444","722,936","755,944",7,1.9,-13.2,4.6,10
Kodiak Island Borough,"697,919","707,566","684,339","685,696",9,1.4,-3.3,0.2,21
Kusilvak Census Area,"141,032","142,648","133,736","137,336",21,1.1,-6.2,2.7,13
Lake and Peninsula Borough,"87,209","78,537","69,530","93,567",23,-9.9,-11.5,34.6,1
Matanuska-Susitna Borough,"2,440,374","2,553,266","2,550,450","2,683,216",4,4.6,-0.1,5.2,9
Nome Census Area,"407,951","406,144","388,263","397,390",13,-0.4,-4.4,2.4,14
North Slope Borough,"10,235,123","10,715,031","9,884,533","8,652,395",2,4.7,-7.8,-12.5,28
Northwest Arctic Borough,"692,292","654,050","650,903","588,940",11,-5.5,-0.5,-9.5,26
Petersburg Borough,"179,893","184,667","181,264","181,657",20,2.7,-1.8,0.2,20
Prince of Wales-Hyder Census Area,"250,708","260,999","255,877","244,443",16,4.1,-2.0,-4.5,25
Sitka City and Borough,"442,459","438,110","378,635","407,000",12,-1.0,-13.6,7.5,6
Skagway Municipality,"98,409","98,951","64,002","67,785",27,0.6,-35.3,5.9,8
Southeast Fairbanks Census Area,"661,804","593,819","658,925","687,226",8,-10.3,11.0,4.3,11
Valdez-Cordova Census Area1,"2,123,324","2,301,526",(NA),(NA),29,8.4,(NA),(NA),--
Wrangell City and Borough,"98,565","93,978","89,558","80,816",26,-4.7,-4.7,-9.8,27
Yakutat City and Borough,"26,838","28,747","29,705","35,990",28,7.1,3.3,21.2,3
Yukon-Koyukuk Census Area,"274,644","271,493","271,190","277,461",15,-1.1,-0.1,2.3,15
,,,,,,,,,
Arizona,"314,827,462","325,395,289","327,178,028","347,656,001",--,3.4,0.5,6.3,--
Apache,"2,380,702","2,134,116","2,150,183","2,166,490",10,-10.4,0.8,0.8,13
Cochise,"4,256,763","4,309,976","4,519,163","4,488,149",8,1.3,4.9,-0.7,15
Coconino,"7,094,440","6,937,843","6,540,762","6,855,346",6,-2.2,-5.7,4.8,9
Gila,"1,721,087","1,695,165","1,761,052","1,879,863",12,-1.5,3.9,6.7,6
Graham,"903,027","940,198","1,041,227","1,206,104",14,4.1,10.7,15.8,2
Greenlee,"1,567,892","1,531,228","1,657,239","2,110,512",11,-2.3,8.2,27.4,1
La Paz,"644,313","682,023","670,437","717,494",15,5.9,-1.7,7.0,4
Maricopa,"224,511,791","234,318,132","235,837,625","252,098,319",1,4.4,0.6,6.9,5
Mohave,"4,917,125","5,095,638","5,241,733","5,634,375",7,3.6,2.9,7.5,3
Navajo,"2,870,371","2,649,319","2,588,403","2,676,086",9,-7.7,-2.3,3.4,11
Pima,"39,611,524","40,383,869","39,896,126","41,618,243",2,1.9,-1.2,4.3,10
Pinal,"8,401,815","8,616,105","9,049,620","9,613,026",3,2.6,5.0,6.2,7
Santa Cruz,"1,799,568","1,782,054","1,798,129","1,838,905",13,-1.0,0.9,2.3,12
Yavapai,"6,686,897","6,735,652","6,796,784","7,193,227",5,0.7,0.9,5.8,8
Yuma,"7,362,446","7,460,962","7,550,525","7,521,194",4,1.3,1.2,-0.4,14
,,,,,,,,,
Arkansas,"115,885,234","117,126,184","117,268,163","123,347,316",--,1.1,0.1,5.2,--
Arkansas,"971,280","974,042","1,016,959","1,052,969",22,0.3,4.4,3.5,45
Ashley,"681,181","681,384","646,149","638,769",32,0.0,-5.2,-1.1,66
Baxter,"1,295,133","1,299,372","1,288,693","1,364,252",18,0.3,-0.8,5.9,28
Benton,"13,627,346","14,119,284","14,751,414","16,062,651",2,3.6,4.5,8.9,18
Boone,"1,176,790","1,166,481","1,170,452","1,217,234",21,-0.9,0.3,4.0,40
Bradley,"314,016","298,606","295,646","308,359",56,-4.9,-1.0,4.3,36
Calhoun,"321,292","309,600","318,180","349,137",53,-3.6,2.8,9.7,15
Carroll,"779,726","792,450","776,291","869,796",25,1.6,-2.0,12.0,12
Chicot,"245,370","246,968","258,645","253,326",59,0.7,4.7,-2.1,67
Clark,"729,044","704,717","690,844","690,620",30,-3.3,-2.0,0.0,64
Clay,"312,321","296,638","323,321","326,088",55,-5.0,9.0,0.9,59
Cleburne,"699,934","723,109","694,163","726,944",28,3.3,-4.0,4.7,35
Cleveland,"152,715","120,471","98,436","138,322",73,-21.1,-18.3,40.5,1
Columbia,"862,631","825,139","791,061","821,461",27,-4.3,-4.1,3.8,42
Conway,"770,466","750,513","758,714","833,848",26,-2.6,1.1,9.9,14
Craighead,"4,183,250","4,339,546","4,416,959","4,687,736",5,3.7,1.8,6.1,27
Crawford,"1,522,003","1,547,971","1,531,378","1,603,953",16,1.7,-1.1,4.7,34
Crittenden,"1,633,183","1,650,466","1,571,119","1,614,477",15,1.1,-4.8,2.8,49
