"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Bartholomew,"6,065,973","6,041,654","5,590,432","6,067,893",12,-0.4,-7.5,8.5,20
Benton,"395,623","440,008","468,540","464,520",81,11.2,6.5,-0.9,87
Blackford,"319,327","315,528","300,732","318,415",86,-1.2,-4.7,5.9,44
Boone,"3,077,510","3,249,082","3,525,647","3,805,313",18,5.6,8.5,7.9,26
Brown,"267,478","260,363","237,603","250,416",88,-2.7,-8.7,5.4,46
Carroll,"636,538","644,477","661,780","704,078",67,1.2,2.7,6.4,37
Cass,"1,256,687","1,268,888","1,277,337","1,353,532",48,1.0,0.7,6.0,42
Clark,"4,862,798","4,855,192","4,832,266","4,964,376",15,-0.2,-0.5,2.7,74
Clay,"705,389","687,873","677,811","727,666",66,-2.5,-1.5,7.4,31
Clinton,"1,399,786","1,385,006","1,360,551","1,417,421",45,-1.1,-1.8,4.2,55
Crawford,"176,174","162,194","161,762","162,202",90,-7.9,-0.3,0.3,83
Daviess,"1,257,644","1,236,066","1,290,185","1,275,169",51,-1.7,4.4,-1.2,88
Dearborn,"1,601,273","1,648,712","1,673,591","1,719,856",37,3.0,1.5,2.8,73
Decatur,"1,509,864","1,542,322","1,440,878","1,585,352",40,2.1,-6.6,10.0,9
DeKalb,"2,414,637","2,457,143","2,359,680","2,536,472",28,1.8,-4.0,7.5,30
Delaware,"3,652,498","3,677,599","3,601,252","3,667,118",20,0.7,-2.1,1.8,79
Dubois,"2,683,665","2,567,879","2,457,711","2,536,613",27,-4.3,-4.3,3.2,65
Elkhart,"14,830,869","14,376,780","13,984,947","17,529,376",5,-3.1,-2.7,25.3,2
Fayette,"532,426","513,362","499,726","517,797",79,-3.6,-2.7,3.6,60
Floyd,"2,723,956","2,750,771","2,600,154","2,755,460",25,1.0,-5.5,6.0,41
Fountain,"444,543","429,801","442,979","463,367",82,-3.3,3.1,4.6,51
Franklin,"533,689","500,871","509,439","509,303",80,-6.1,1.7,0.0,85
Fulton,"641,131","628,468","625,570","643,134",72,-2.0,-0.5,2.8,71
Gibson,"3,300,107","3,081,579","3,037,383","3,308,588",22,-6.6,-1.4,8.9,18
Grant,"2,195,105","2,155,613","2,076,871","2,181,018",31,-1.8,-3.7,5.0,47
Greene,"612,566","601,591","567,506","585,503",76,-1.8,-5.7,3.2,69
Hamilton,"17,903,124","18,572,306","18,055,516","19,431,795",4,3.7,-2.8,7.6,28
Hancock,"2,655,223","2,874,128","2,901,979","3,168,895",23,8.2,1.0,9.2,14
Harrison,"1,041,838","1,036,614","1,007,754","1,034,468",56,-0.5,-2.8,2.7,75
Hendricks,"6,211,926","6,273,677","6,570,538","7,213,615",9,1.0,4.7,9.8,11
Henry,"1,231,830","1,232,614","1,240,068","1,313,509",50,0.1,0.6,5.9,43
Howard,"3,848,228","3,844,421","3,660,175","4,044,993",17,-0.1,-4.8,10.5,7
Huntington,"1,354,343","1,350,261","1,320,815","1,420,819",44,-0.3,-2.2,7.6,29
Jackson,"2,161,230","2,225,598","2,282,325","2,509,946",29,3.0,2.5,10.0,10
Jasper,"1,459,388","1,445,077","1,337,464","1,382,062",47,-1.0,-7.4,3.3,61
Jay,"992,027","903,255","878,076","963,705",59,-8.9,-2.8,9.8,12
Jefferson,"1,376,930","1,419,468","1,368,991","1,491,897",43,3.1,-3.6,9.0,17
Jennings,"687,532","703,699","689,970","676,620",68,2.4,-2.0,-1.9,90
Johnson,"4,986,723","5,078,466","5,085,850","5,518,025",14,1.8,0.1,8.5,21
Knox,"1,795,272","1,720,842","1,699,104","1,729,886",36,-4.1,-1.3,1.8,80
Kosciusko,"5,204,690","5,364,208","5,391,595","5,757,412",13,3.1,0.5,6.8,33
Lagrange,"1,900,656","1,779,479","1,580,237","1,826,746",34,-6.4,-11.2,15.6,4
Lake,"23,941,363","22,371,092","21,190,321","21,424,162",2,-6.6,-5.3,1.1,82
LaPorte,"3,963,468","3,826,478","3,658,177","3,754,347",19,-3.5,-4.4,2.6,76
Lawrence,"1,274,128","1,277,445","1,269,089","1,331,148",49,0.3,-0.7,4.9,49
Madison,"3,434,376","3,436,822","3,326,500","3,469,013",21,0.1,-3.2,4.3,53
Marion,"82,751,746","84,855,858","82,744,952","86,015,333",1,2.5,-2.5,4.0,58
Marshall,"1,572,984","1,530,241","1,486,360","1,535,818",42,-2.7,-2.9,3.3,63
Martin,"977,306","1,015,709","1,046,265","1,046,701",55,3.9,3.0,0.0,84
Miami,"918,251","899,190","859,375","895,960",60,-2.1,-4.4,4.3,54
Monroe,"6,275,912","6,242,087","6,015,513","6,215,864",11,-0.5,-3.6,3.3,62
Montgomery,"1,583,243","1,556,150","1,564,570","1,637,171",39,-1.7,0.5,4.6,50
Morgan,"1,535,000","1,634,738","1,651,116","1,555,579",41,6.5,1.0,-5.8,92
Newton,"326,177","313,942","327,380","347,985",85,-3.8,4.3,6.3,38
Noble,"1,784,583","1,784,207","1,700,947","1,844,411",32,0.0,-4.7,8.4,23
Ohio,"114,045","100,456","102,309","103,538",92,-11.9,1.8,1.2,81
Orange,"643,238","570,825","515,738","567,893",77,-11.3,-9.7,10.1,8
Owen,"488,246","496,482","483,263","525,291",78,1.7,-2.7,8.7,19
Parke,"311,893","323,905","344,309","359,915",84,3.9,6.3,4.5,52
Perry,"719,968","710,928","689,832","747,788",65,-1.3,-3.0,8.4,24
Pike,"636,740","672,174","593,683","658,561",71,5.6,-11.7,10.9,6
Porter,"7,224,289","7,047,987","6,490,326","6,696,795",10,-2.4,-7.9,3.2,68
Posey,"2,827,762","3,274,028","3,026,237","3,024,194",24,15.8,-7.6,-0.1,86
Pulaski,"590,348","601,827","616,747","663,881",69,1.9,2.5,7.6,27
Putnam,"1,036,507","1,010,434","970,287","995,457",58,-2.5,-4.0,2.6,77
Randolph,"707,993","715,523","694,231","781,257",64,1.1,-3.0,12.5,5
Ripley,"1,059,925","1,069,084","1,069,916","1,104,168",54,0.9,0.1,3.2,66
Rush,"583,933","582,275","560,947","588,668",75,-0.3,-3.7,4.9,48
St. Joseph,"12,797,390","13,103,395","12,240,686","13,037,623",6,2.4,-6.6,6.5,35
Scott,"654,751","650,679","621,474","661,772",70,-0.6,-4.5,6.5,36
Shelby,"1,879,593","1,863,068","1,768,899","1,827,196",33,-0.9,-5.1,3.3,64
Spencer,"1,106,230","1,001,192","814,551","870,680",62,-9.5,-18.6,6.9,32
Starke,"464,830","490,007","481,548","459,518",83,5.4,-1.7,-4.6,91
Steuben,"1,330,488","1,352,043","1,287,713","1,396,932",46,1.6,-4.8,8.5,22
Sullivan,"889,547","888,464","769,777","894,128",61,-0.1,-13.4,16.2,3
Switzerland,"221,579","212,922","187,015","184,060",89,-3.9,-12.2,-1.6,89
Tippecanoe,"9,211,650","9,246,184","8,705,250","9,068,546",8,0.4,-5.9,4.2,56
Tipton,"569,064","547,665","567,948","613,167",74,-3.8,3.7,8.0,25
Union,"132,863","124,982","128,095","130,573",91,-5.9,2.5,1.9,78
Vanderburgh,"10,085,843","10,315,828","9,795,080","10,192,662",7,2.3,-5.0,4.1,57
Vermillion,"783,501","732,941","769,490","798,386",63,-6.5,5.0,3.8,59
Vigo,"4,243,107","4,272,921","4,178,862","4,295,965",16,0.7,-2.2,2.8,72
Wabash,"1,090,020","1,093,905","1,089,896","1,189,998",52,0.4,-0.4,9.2,15
Warren,"229,861","218,694","227,349","289,690",87,-4.9,4.0,27.4,1
Warrick,"2,226,607","2,190,148","2,265,828","2,338,214",30,-1.6,3.5,3.2,67
Washington,"648,694","597,141","580,301","619,667",73,-7.9,-2.8,6.8,34
Wayne,"2,555,238","2,552,097","2,471,809","2,543,313",26,-0.1,-3.1,2.9,70
Wells,"1,122,108","1,077,994","1,046,142","1,109,044",53,-3.9,-3.0,6.0,40
White,"928,781","901,281","957,862","1,017,099",57,-3.0,6.3,6.2,39
Whitley,"1,473,281","1,500,529","1,516,250","1,660,774",38,1.8,1.0,9.5,13
,,,,,,,,,
Iowa,"173,547,724","173,721,980","170,957,361","179,752,962",--,0.1,-1.6,5.1,--
Adair,"325,827","339,746","406,617","430,503",78,4.3,19.7,5.9,45
Adams,"224,682","226,978","205,119","207,934",97,1.0,-9.6,1.4,84
Allamakee,"600,563","605,620","599,636","573,076",63,0.8,-1.0,-4.4,97
Appanoose,"370,814","369,809","370,658","395,869",83,-0.3,0.2,6.8,34
Audubon,"275,637","326,791","304,569","290,891",91,18.6,-6.8,-4.5,98
Benton,"789,660","814,445","862,429","901,547",36,3.1,5.9,4.5,61
Black Hawk,"7,140,398","7,056,978","7,026,356","7,513,102",5,-1.2,-0.4,6.9,33
Boone,"932,213","951,690","975,705","1,006,742",33,2.1,2.5,3.2,69
Bremer,"1,023,103","1,023,743","974,423","1,043,942",30,0.1,-4.8,7.1,30
Buchanan,"753,817","767,120","754,161","749,966",47,1.8,-1.7,-0.6,91
Buena Vista,"1,270,990","1,218,112","1,230,413","1,311,448",22,-4.2,1.0,6.6,36
Butler,"392,350","399,983","404,061","494,350",72,1.9,1.0,22.3,1
Calhoun,"428,089","426,124","409,768","424,983",79,-0.5,-3.8,3.7,67
Carroll,"1,349,153","1,298,116","1,229,380","1,246,071",23,-3.8,-5.3,1.4,85
Cass,"634,827","611,654","585,648","622,321",60,-3.7,-4.3,6.3,41
Cedar,"589,466","587,540","573,815","640,559",57,-0.3,-2.3,11.6,12
Cerro Gordo,"2,326,139","2,218,668","2,209,743","2,240,617",13,-4.6,-0.4,1.4,83
Cherokee,"695,746","628,000","630,883","648,133",55,-9.7,0.5,2.7,73
Chickasaw,"664,764","628,955","596,718","627,968",58,-5.4,-5.1,5.2,54
Clarke,"405,006","374,281","367,123","384,201",85,-7.6,-1.9,4.7,60
Clay,"984,667","1,030,457","1,003,379","1,029,992",31,4.7,-2.6,2.7,76
Clayton,"870,492","879,505","799,014","820,076",43,1.0,-9.2,2.6,77
Clinton,"2,059,088","2,001,902","2,002,815","2,120,001",14,-2.8,0.0,5.9,46
Crawford,"750,648","742,222","711,402","720,962",51,-1.1,-4.2,1.3,86
Dallas,"4,467,196","4,743,328","4,881,625","5,228,612",7,6.2,2.9,7.1,31
Davis,"256,372","244,332","228,916","237,836",95,-4.7,-6.3,3.9,66
Decatur,"197,985","189,614","178,279","189,054",98,-4.2,-6.0,6.0,44
Delaware,"946,052","902,970","864,826","881,490",38,-4.6,-4.2,1.9,80
Des Moines,"2,057,985","1,973,871","1,885,171","1,936,224",16,-4.1,-4.5,2.7,74
Dickinson,"905,761","966,781","969,403","1,067,394",29,6.7,0.3,10.1,18
Dubuque,"5,839,277","6,074,858","6,103,861","6,428,433",6,4.0,0.5,5.3,51
Emmet,"381,155","381,270","330,346","391,097",84,0.0,-13.4,18.4,3
Fayette,"755,182","727,080","711,256","725,623",49,-3.7,-2.2,2.0,79
Floyd,"815,503","778,890","721,174","761,194",46,-4.5,-7.4,5.5,49
Franklin,"609,144","600,746","579,541","641,618",56,-1.4,-3.5,10.7,15
Fremont,"244,792","306,767","300,201","324,019",88,25.3,-2.1,7.9,27
Greene,"459,561","457,794","465,913","526,462",70,-0.4,1.8,13.0,10
Grundy,"462,289","476,270","498,530","539,002",69,3.0,4.7,8.1,24
Guthrie,"460,428","416,767","447,524","443,362",76,-9.5,7.4,-0.9,92
Hamilton,"922,033","847,174","722,027","768,177",45,-8.1,-14.8,6.4,38
Hancock,"799,627","770,939","709,901","837,089",42,-3.6,-7.9,17.9,4
Hardin,"866,796","822,475","746,142","793,480",44,-5.1,-9.3,6.3,39
Harrison,"385,073","393,097","392,892","437,446",77,2.1,-0.1,11.3,13
Henry,"872,299","850,309","837,869","892,825",37,-2.5,-1.5,6.6,37
Howard,"454,619","460,051","447,959","484,258",73,1.2,-2.6,8.1,25
Humboldt,"440,656","454,820","439,646","459,208",75,3.2,-3.3,4.4,62
Ida,"463,660","485,715","538,661","563,854",65,4.8,10.9,4.7,59
Iowa,"1,091,228","1,042,440","995,501","1,102,128",27,-4.5,-4.5,10.7,16
Jackson,"614,067","606,161","615,555","618,355",61,-1.3,1.5,0.5,89
Jasper,"1,067,939","1,126,736","1,113,771","1,159,870",26,5.5,-1.2,4.1,65
Jefferson,"647,553","646,730","620,449","669,907",54,-0.1,-4.1,8.0,26
Johnson,"8,515,465","8,498,471","8,303,741","8,537,932",4,-0.2,-2.3,2.8,72
Jones,"588,213","578,626","593,733","623,939",59,-1.6,2.6,5.1,55
Keokuk,"352,525","346,187","317,424","322,682",89,-1.8,-8.3,1.7,82
Kossuth,"955,054","914,957","832,999","948,457",34,-4.2,-9.0,13.9,8
Lee,"1,588,097","1,624,850","1,614,305","1,633,427",19,2.3,-0.6,1.2,87
Linn,"15,782,274","15,327,482","14,926,296","15,325,670",2,-2.9,-2.6,2.7,75
Louisa,"661,017","720,660","706,937","854,265",40,9.0,-1.9,20.8,2
Lucas,"292,436","293,431","295,906","288,814",92,0.3,0.8,-2.4,95
Lyon,"1,039,100","1,016,328","948,426","931,666",35,-2.2,-6.7,-1.8,94
Madison,"381,783","381,111","374,902","404,262",81,-0.2,-1.6,7.8,28
Mahaska,"906,418","860,713","795,049","840,073",41,-5.0,-7.6,5.7,48
Marion,"1,799,279","1,942,907","1,918,220","2,085,254",15,8.0,-1.3,8.7,22
Marshall,"1,727,443","1,715,785","1,743,481","1,775,025",18,-0.7,1.6,1.8,81
Mills,"497,921","553,673","487,386","511,033",71,11.2,-12.0,4.9,57
Mitchell,"658,822","666,840","567,921","566,918",64,1.2,-14.8,-0.2,90
Monona,"296,954","311,058","313,324","334,119",87,4.7,0.7,6.6,35
Monroe,"382,358","386,143","375,779","403,641",82,1.0,-2.7,7.4,29
Montgomery,"391,264","388,981","373,184","417,989",80,-0.6,-4.1,12.0,11
Muscatine,"2,476,466","2,398,389","2,365,843","2,435,065",11,-3.2,-1.4,2.9,70
O'Brien,"936,027","924,797","883,886","870,828",39,-1.2,-4.4,-1.5,93
Osceola,"472,584","407,141","353,986","364,181",86,-13.8,-13.1,2.9,71
Page,"558,595","572,202","561,079","590,647",62,2.4,-1.9,5.3,53
Palo Alto,"631,894","575,526","493,877","548,512",67,-8.9,-14.2,11.1,14
Plymouth,"1,440,871","1,433,667","1,338,782","1,409,598",21,-0.5,-6.6,5.3,52
Pocahontas,"587,861","603,369","533,759","539,729",68,2.6,-11.5,1.1,88
Polk,"38,892,998","39,631,025","39,863,720","42,342,831",1,1.9,0.6,6.2,42
Pottawattamie,"4,077,003","3,898,489","3,677,816","3,861,713",10,-4.4,-5.7,5.0,56
Poweshiek,"1,034,574","1,044,710","1,093,160","1,199,807",25,1.0,4.6,9.8,19
Ringgold,"192,958","196,726","184,489","168,931",99,2.0,-6.2,-8.4,99
Sac,"565,941","572,467","529,463","558,007",66,1.2,-7.5,5.4,50
Scott,"8,517,398","8,743,226","8,556,669","8,912,158",3,2.7,-2.1,4.2,64
Shelby,"680,241","689,603","655,375","709,068",52,1.4,-5.0,8.2,23
Sioux,"2,655,889","2,561,608","2,407,557","2,346,052",12,-3.5,-6.0,-2.6,96
Story,"4,968,651","5,019,153","4,924,101","5,158,546",8,1.0,-1.9,4.8,58
Tama,"588,303","604,547","683,420","723,193",50,2.8,13.0,5.8,47
Taylor,"233,301","242,638","244,249","267,552",93,4.0,0.7,9.5,20
Union,"573,418","587,600","636,521","693,602",53,2.5,8.3,9.0,21
Van Buren,"224,392","215,194","200,218","230,622",96,-4.1,-7.0,15.2,6
Wapello,"1,490,180","1,485,681","1,450,894","1,540,236",20,-0.3,-2.3,6.2,43
Warren,"1,092,889","1,133,796","1,123,132","1,201,462",24,3.7,-0.9,7.0,32
Washington,"1,205,186","1,258,566","1,007,015","1,070,132",28,4.4,-20.0,6.3,40
Wayne,"221,809","212,492","210,611","238,365",94,-4.2,-0.9,13.2,9
Webster,"1,902,702","1,891,067","1,816,377","1,859,279",17,-0.6,-3.9,2.4,78
Winnebago,"419,824","389,169","411,441","469,840",74,-7.3,5.7,14.2,7
Winneshiek,"957,898","961,361","983,554","1,019,880",32,0.4,2.3,3.7,68
Woodbury,"4,789,898","4,673,380","4,572,924","4,775,286",9,-2.4,-2.1,4.4,63
Worth,"278,803","273,934","280,560","310,397",90,-1.7,2.4,10.6,17
Wright,"773,563","668,069","635,107","734,159",48,-13.6,-4.9,15.6,5
,,,,,,,,,
Kansas,"158,734,424","159,826,172","158,348,332","162,290,924",--,0.7,-0.9,2.5,--
Allen,"496,390","535,281","533,496","555,318",36,7.8,-0.3,4.1,16
Anderson,"242,310","271,290","300,457","332,016",52,12.0,10.8,10.5,2
Atchison,"684,730","686,854","657,608","655,418",30,0.3,-4.3,-0.3,64
Barber,"211,397","209,393","208,563","207,674",72,-0.9,-0.4,-0.4,66
Barton,"1,159,006","1,192,814","1,184,588","1,178,276",23,2.9,-0.7,-0.5,67
Bourbon,"628,734","556,027","542,857","541,821",39,-11.6,-2.4,-0.2,60
Brown,"526,414","539,471","531,822","590,482",32,2.5,-1.4,11.0,1
Butler,"2,352,040","2,341,463","2,220,346","2,196,463",12,-0.4,-5.2,-1.1,70
Chase,"131,094","129,635","140,172","140,860",90,-1.1,8.1,0.5,55
Chautauqua,"76,845","73,059","75,625","79,448",102,-4.9,3.5,5.1,12
Cherokee,"687,315","694,063","747,569","735,162",27,1.0,7.7,-1.7,73
Cheyenne,"126,128","124,890","135,515","138,866",92,-1.0,8.5,2.5,32
Clark,"222,991","214,536","198,661","202,524",74,-3.8,-7.4,1.9,42
Clay,"266,733","285,785","278,147","269,338",62,7.1,-2.7,-3.2,83
Cloud,"340,602","361,009","371,768","374,749",47,6.0,3.0,0.8,53
Coffey,"776,100","769,917","791,748","667,795",29,-0.8,2.8,-15.7,104
Comanche,"64,357","70,650","62,074","65,891",105,9.8,-12.1,6.2,6
Cowley,"1,315,076","1,237,082","1,211,522","1,254,492",20,-5.9,-2.1,3.5,21
Crawford,"1,471,122","1,482,835","1,469,715","1,508,956",17,0.8,-0.9,2.7,31
Decatur,"135,484","140,231","159,358","156,774",85,3.5,13.6,-1.6,72
Dickinson,"613,496","605,850","572,813","596,017",31,-1.2,-5.5,4.1,17
Doniphan,"243,420","273,249","245,559","245,174",65,12.3,-10.1,-0.2,59
Douglas,"4,561,815","4,578,983","4,396,848","4,520,477",5,0.4,-4.0,2.8,29
Edwards,"202,821","206,632","186,199","170,734",79,1.9,-9.9,-8.3,102
Elk,"73,795","74,738","69,550","71,600",104,1.3,-6.9,2.9,27
Ellis,"1,486,565","1,477,124","1,504,136","1,513,745",16,-0.6,1.8,0.6,54
Ellsworth,"255,927","272,773","273,635","267,372",63,6.6,0.3,-2.3,77
Finney,"2,211,679","2,097,182","2,058,899","2,129,271",13,-5.2,-1.8,3.4,22
Ford,"2,139,664","2,084,865","2,144,826","2,272,010",11,-2.6,2.9,5.9,8
Franklin,"847,094","831,074","809,681","848,534",25,-1.9,-2.6,4.8,13
Geary,"2,641,394","2,605,414","2,639,797","2,694,894",6,-1.4,1.3,2.1,40
Gove,"156,175","154,563","162,467","167,792",81,-1.0,5.1,3.3,24
Graham,"131,026","130,798","134,137","139,529",91,-0.2,2.6,4.0,18
Grant,"623,335","466,349","492,017","474,691",41,-25.2,5.5,-3.5,87
Gray,"781,065","707,999","623,048","579,334",33,-9.4,-12.0,-7.0,96
Greeley,"169,506","154,649","150,376","141,430",89,-8.8,-2.8,-5.9,95
Greenwood,"156,731","155,607","155,514","150,506",87,-0.7,-0.1,-3.2,84
Hamilton,"295,185","307,518","281,921","228,081",67,4.2,-8.3,-19.1,105
Harper,"315,069","335,394","324,966","323,727",54,6.5,-3.1,-0.4,65
Harvey,"1,216,460","1,233,982","1,198,353","1,261,283",19,1.4,-2.9,5.3,11
Haskell,"485,440","341,924","351,909","333,554",51,-29.6,2.9,-5.2,90
Hodgeman,"156,860","163,265","138,923","122,823",97,4.1,-14.9,-11.6,103
Jackson,"368,995","351,762","359,391","388,930",45,-4.7,2.2,8.2,4
Jefferson,"394,899","398,948","388,062","388,408",46,1.0,-2.7,0.1,57
Jewell,"129,437","140,352","138,422","127,587",96,8.4,-1.4,-7.8,100
Johnson,"44,828,563","46,349,812","46,242,707","48,095,565",1,3.4,-0.2,4.0,20
Kearny,"254,988","258,009","263,851","271,603",61,1.2,2.3,2.9,28
Kingman,"274,527","272,551","341,914","313,812",55,-0.7,25.4,-8.2,101
Kiowa,"130,897","110,800","133,497","129,008",95,-15.4,20.5,-3.4,86
Labette,"779,917","783,561","759,712","769,005",26,0.5,-3.0,1.2,51
Lane,"159,317","141,474","122,673","116,142",98,-11.2,-13.3,-5.3,92
Leavenworth,"2,659,006","2,595,575","2,576,004","2,624,987",7,-2.4,-0.8,1.9,43
Lincoln,"108,755","99,210","120,983","111,797",100,-8.8,21.9,-7.6,99
Linn,"427,131","436,319","456,301","444,819",44,2.2,4.6,-2.5,78
Logan,"149,466","151,061","167,468","164,307",84,1.1,10.9,-1.9,75
Lyon,"1,353,264","1,306,126","1,290,365","1,308,334",18,-3.5,-1.2,1.4,48
McPherson,"2,110,619","2,013,082","1,818,440","1,717,666",14,-4.6,-9.7,-5.5,94
Marion,"358,284","394,577","378,109","368,583",48,10.1,-4.2,-2.5,79
Marshall,"478,179","483,823","495,934","507,968",40,1.2,2.5,2.4,33
Meade,"260,027","285,216","249,176","255,214",64,9.7,-12.6,2.4,34
Miami,"874,010","877,685","879,757","906,891",24,0.4,0.2,3.1,25
Mitchell,"397,528","418,943","456,793","462,700",43,5.4,9.0,1.3,49
Montgomery,"1,609,742","1,668,165","1,588,007","1,612,913",15,3.6,-4.8,1.6,46
Morris,"207,568","189,481","192,673","182,396",76,-8.7,1.7,-5.3,93
Morton,"156,908","137,299","145,002","148,209",88,-12.5,5.6,2.2,38
Nemaha,"463,432","388,339","439,665","463,938",42,-16.2,13.2,5.5,10
Neosho,"515,436","564,540","535,935","557,437",35,9.5,-5.1,4.0,19
Ness,"181,946","187,559","189,002","183,797",75,3.1,0.8,-2.8,81
Norton,"212,458","225,324","238,323","228,368",66,6.1,5.8,-4.2,89
Osage,"297,215","292,547","296,322","301,634",57,-1.6,1.3,1.8,44
Osborne,"168,460","166,836","166,041","169,989",80,-1.0,-0.5,2.4,35
Ottawa,"107,547","101,256","110,933","113,491",99,-5.8,9.6,2.3,37
Pawnee,"291,911","295,639","277,561","276,914",59,1.3,-6.1,-0.2,61
Phillips,"365,348","368,995","339,909","339,035",50,1.0,-7.9,-0.3,63
Pottawatomie,"1,300,864","1,118,096","1,104,171","1,182,081",22,-14.0,-1.2,7.1,5
Pratt,"535,369","573,677","545,922","552,795",38,7.2,-4.8,1.3,50
Rawlins,"117,398","118,890","152,036","165,120",83,1.3,27.9,8.6,3
Reno,"2,292,563","2,349,016","2,309,971","2,387,547",10,2.5,-1.7,3.4,23
Republic,"202,929","220,496","221,150","221,212",70,8.7,0.3,0.0,58
Rice,"508,225","627,148","546,669","579,009",34,23.4,-12.8,5.9,9
Riley,"2,429,241","2,444,683","2,428,761","2,471,454",9,0.6,-0.7,1.8,45
Rooks,"203,045","184,367","205,799","204,021",73,-9.2,11.6,-0.9,68
Rush,"144,218","159,675","153,438","151,902",86,10.7,-3.9,-1.0,69
Russell,"262,966","260,141","270,962","271,974",60,-1.1,4.2,0.4,56
Saline,"2,664,028","2,604,326","2,443,869","2,547,570",8,-2.2,-6.2,4.2,15
Scott,"460,978","333,810","336,002","328,531",53,-27.6,0.7,-2.2,76
Sedgwick,"28,923,705","29,390,820","29,032,477","29,903,209",2,1.6,-1.2,3.0,26
Seward,"1,240,165","1,144,592","1,184,932","1,237,915",21,-7.7,3.5,4.5,14
Shawnee,"9,572,135","9,358,359","9,404,934","9,664,958",4,-2.2,0.5,2.8,30
Sheridan,"108,299","102,219","140,425","136,421",94,-5.6,37.4,-2.9,82
Sherman,"276,332","276,623","303,090","309,130",56,0.1,9.6,2.0,41
Smith,"146,923","162,149","170,932","166,264",82,10.4,5.4,-2.7,80
Stafford,"184,929","195,403","196,327","181,516",77,5.7,0.5,-7.5,98
Stanton,"191,608","244,476","234,677","222,391",69,27.6,-4.0,-5.2,91
Stevens,"321,221","328,213","350,094","345,131",49,2.2,6.7,-1.4,71
Sumner,"652,868","701,694","681,956","696,533",28,7.5,-2.8,2.1,39
Thomas,"469,031","479,573","545,964","553,763",37,2.2,13.8,1.4,47
Trego,"171,131","166,957","164,172","174,083",78,-2.4,-1.7,6.0,7
Wabaunsee,"143,732","140,470","135,350","138,567",93,-2.3,-3.6,2.4,36
Wallace,"93,086","98,640","101,790","99,915",101,6.0,3.2,-1.8,74
Washington,"212,586","212,568","231,662","222,588",68,0.0,9.0,-3.9,88
Wichita,"318,264","286,638","227,523","211,120",71,-9.9,-20.6,-7.2,97
Wilson,"321,686","316,535","297,279","296,570",58,-1.6,-6.1,-0.2,62
Woodson,"79,807","81,584","82,010","79,265",103,2.2,0.5,-3.3,85
Wyandotte,"11,158,335","11,137,638","10,839,248","10,941,644",3,-0.2,-2.7,0.9,52
,,,,,,,,,
Kentucky,"187,926,618","192,971,910","188,396,327","197,818,261",--,2.7,-2.4,5.0,--
Adair,"341,905","349,204","341,848","365,892",70,2.1,-2.1,7.0,22
Allen,"464,111","462,446","433,983","457,794",62,-0.4,-6.2,5.5,35
Anderson,"513,036","524,132","509,756","516,628",56,2.2,-2.7,1.3,87
Ballard,"181,345","206,766","211,183","228,360",91,14.0,2.1,8.1,12
Barren,"1,320,120","1,327,615","1,263,993","1,298,017",28,0.6,-4.8,2.7,73
Bath,"182,161","187,274","178,284","181,651",102,2.8,-4.8,1.9,82
Bell,"694,555","715,098","681,925","711,096",48,3.0,-4.6,4.3,55
Boone,"10,390,536","10,616,714","10,325,493","11,172,159",3,2.2,-2.7,8.2,11
Bourbon,"1,011,685","977,087","891,343","867,452",42,-3.4,-8.8,-2.7,113
Boyd,"3,982,361","3,955,822","3,233,830","3,290,937",12,-0.7,-18.3,1.8,83
Boyle,"1,121,773","1,143,833","1,100,282","1,146,416",31,2.0,-3.8,4.2,57
Bracken,"139,919","139,414","139,987","149,197",110,-0.4,0.4,6.6,25
Breathitt,"218,638","204,394","185,793","183,535",101,-6.5,-9.1,-1.2,109
Breckinridge,"335,432","361,614","358,523","384,100",68,7.8,-0.9,7.1,21
Bullitt,"2,215,641","2,278,589","2,285,878","2,408,043",15,2.8,0.3,5.3,39
Butler,"273,410","297,830","289,255","299,560",79,8.9,-2.9,3.6,64
Caldwell,"362,294","356,033","364,972","399,335",64,-1.7,2.5,9.4,9
Calloway,"1,269,008","1,323,658","1,297,386","1,317,754",27,4.3,-2.0,1.6,86
Campbell,"3,083,239","3,154,781","3,186,348","3,434,024",10,2.3,1.0,7.8,15
Carlisle,"125,714","156,307","148,140","154,392",108,24.3,-5.2,4.2,56
Carroll,"1,942,253","1,920,287","1,719,799","1,843,138",21,-1.1,-10.4,7.2,19
Carter,"451,978","448,089","446,049","448,406",63,-0.9,-0.5,0.5,94
Casey,"292,758","303,361","310,863","326,650",74,3.6,2.5,5.1,44
Christian,"5,264,186","5,255,335","5,290,987","5,531,130",6,-0.2,0.7,4.5,50
Clark,"1,391,428","1,408,995","1,364,208","1,397,581",26,1.3,-3.2,2.4,75
Clay,"301,954","302,529","297,185","310,223",77,0.2,-1.8,4.4,54
Clinton,"309,552","307,937","312,189","328,633",72,-0.5,1.4,5.3,40
Crittenden,"188,888","179,294","175,962","187,947",100,-5.1,-1.9,6.8,23
Cumberland,"137,579","145,260","146,679","151,081",109,5.6,1.0,3.0,69
Daviess,"4,208,988","4,225,960","4,171,819","4,316,362",8,0.4,-1.3,3.5,67
