2020 Alphabetical Vessel Statistics by County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,,Class A-1 - Pleasure: < than 12',,,,,"2,170",,,,,,,,Class A-1 - Commercial: < than 12',,,,,18,,,,,,,
Monroe,,Class A-1 - Pleasure: < than 12',,,,,"3,831",,,,,,,,Class A-1 - Commercial: < than 12',,,,,31,,,,,,,
Nassau,,Class A-1 - Pleasure: < than 12',,,,,904,,,,,,,,Class A-1 - Commercial: < than 12',,,,,4,,,,,,,
Okaloosa,,Class A-1 - Pleasure: < than 12',,,,,"4,008",,,,,,,,Class A-1 - Commercial: < than 12',,,,,26,,,,,,,
Okeechoee,,Class A-1 - Pleasure: < than 12',,,,,377,,,,,,,,Class A-1 - Commercial: < than 12',,,,,4,,,,,,,
Orange,,Class A-1 - Pleasure: < than 12',,,,,"9,451",,,,,,,,Class A-1 - Commercial: < than 12',,,,,49,,,,,,,
Osceola,,Class A-1 - Pleasure: < than 12',,,,,"2,461",,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
Palm Beach,,Class A-1 - Pleasure: < than 12',,,,,"6,932",,,,,,,,Class A-1 - Commercial: < than 12',,,,,51,,,,,,,
Pasco,,Class A-1 - Pleasure: < than 12',,,,,"5,294",,,,,,,,Class A-1 - Commercial: < than 12',,,,,14,,,,,,,
Pinellas,,Class A-1 - Pleasure: < than 12',,,,,"11,341",,,,,,,,Class A-1 - Commercial: < than 12',,,,,66,,,,,,,
Polk,,Class A-1 - Pleasure: < than 12',,,,,"4,601",,,,,,,,Class A-1 - Commercial: < than 12',,,,,11,,,,,,,
Putnam,,Class A-1 - Pleasure: < than 12',,,,,779,,,,,,,,Class A-1 - Commercial: < than 12',,,,,12,,,,,,,
Santa Rosa,,Class A-1 - Pleasure: < than 12',,,,,"2,698",,,,,,,,Class A-1 - Commercial: < than 12',,,,,17,,,,,,,
Sarasota,,Class A-1 - Pleasure: < than 12',,,,,"3,060",,,,,,,,Class A-1 - Commercial: < than 12',,,,,23,,,,,,,
Seminole,,Class A-1 - Pleasure: < than 12',,,,,"3,441",,,,,,,,Class A-1 - Commercial: < than 12',,,,,16,,,,,,,
St. Johns,,Class A-1 - Pleasure: < than 12',,,,,"2,418",,,,,,,,Class A-1 - Commercial: < than 12',,,,,18,,,,,,,
St. Lucie,,Class A-1 - Pleasure: < than 12',,,,,"1,920",,,,,,,,Class A-1 - Commercial: < than 12',,,,,6,,,,,,,
Sumter,,Class A-1 - Pleasure: < than 12',,,,,463,,,,,,,,Class A-1 - Commercial: < than 12',,,,,1,,,,,,,
Suwannee,,Class A-1 - Pleasure: < than 12',,,,,242,,,,,,,,Class A-1 - Commercial: < than 12',,,,,1,,,,,,,
Taylor,,Class A-1 - Pleasure: < than 12',,,,,157,,,,,,,,Class A-1 - Commercial: < than 12',,,,,2,,,,,,,
